Word,Count
,42
<div,31
-,31
a,30
cu,27
in,24
Includere,21
de,21
pentru,21
<script,21
Disconnect,20
Connect,20
data,19
<link,17
\rel="\stylesheet"\\,17
1,17
<a,17
2,16
\type="\text/css"\>\,16
fi,15
Get,15
Utilizare:,15
la,14
Obs:,14
ce,14
JS,13
\class="\fa\,12
framework,12
GET,12
HTML,12
poate,12
cod,12
3,12
Exemplu,12
CSS,11
se,11
CSS+JS,11
web,10
<li,10
Query,10
\folosit,\,10
impreuna,10
loader,10
\src="\https://ajax.googleapis.com/ajax/libs/jquery/1.12.0/jquery.min.js"\></script>\,10
\JQuery,\,10
si,9
</div>,9
is,9
and,9
if,8
genera,8
scrollspy,8
\class="\tab-content"\></div>\,8
dupa,7
Add,7
Background,7
Verify,7
Export,6
\class="\tab-link"\\,6
va,6
header,6
</ul>,6
FontAwesome,6
\href="\https://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css"\\,6
modal-ul,6
Admin,6
lesson,6
month,5
views,5
un,5
ca,5
init,5
paginii,5
librarie,5
prin,5
tabs,5
Page,5
din,5
material,4
paginile,4
pe,4
PHP,4
inchide,4
<script>,4
Count,4
TinyMCE,4
link-uri,4
\guides.github.com/components/primer/markdown.css',\,4
Section,4
</script>,4
Require,4
trecerea,4
(timer)ms,4
version,4
password,4
Tab,4
partea,4
library,4
<ul,4
pot,4
pagina,4
o,4
\class="\tab-link\,4
there,4
<i,4
Reset,3
URL,3
\class="\col-1-2\,3
Pentru,3
Contact,3
list,3
variabilei,3
realiza,3
este,3
\paginii,\,3
request-uri,3
Material,3
unui,3
click,3
min,3
Translate,3
max,3
coloane,3
ID,3
Queries,3
tip,3
elements,3
elementul,3
creaza,3
12,3
smoothScroll,3
scrolare,3
column</div>,3
to,3
mai,3
5,3
pagini,3
empty,3
pana,2
fa-spinner,2
Test,2
login,2
Chat,2
butoane,2
nefiind,2
modal,2
ultimul,2
\href="\link1.html"\><li><i\,2
'100%'});,2
\fa-icon1"\></i>Link\,2
Generate,2
admin,2
\href="\tabs.css"\\,2
\id="\tab-0"\\,2
cookies,2
2.loader_init(timer),2
SQL,2
\src="\scrollspy.js"\></script>\,2
from,2
contain,2
\href="\scrollTop.css"\\,2
posibile,2
implementarea,2
\fa-icon4"\></i>Link\,2
dispozitivele,2
div,2
materials,2
element,2
\id="\tab-2"\\,2
Smooth,2
doar,2
contextMenu,2
sus,2
inaltimi,2
loader-ul,2
\Initial,\,2
\data-tab="\tab-1"\>Listare</li>\,2
email,2
estetic,2
\href="\link3.html"\><li><i\,2
minim,2
transforma,2
Incorrect,2
\data-tab="\tab-4"\>Alte\,2
\utile,\,2
folosita,2
x/y,2
Append,2
fa-spin,2
customisate,2
rezolutie,2
\fa-caret-square-o-up"\\,2
dreapta,2
timer,2
biblioteca,2
char),2
\href="\scrollspy.css"\\,2
numbers,2
Functii,2
sectiuni,2
\"\last-pixel"\\,2
#2</div></li></a>,2
Inludere,2
meniuri,2
#1</div></li></a>,2
conduc,2
activeaza,2
functii:,2
rezolva,2
\href="\#"\\,2
\href="\contextMenu.css"\\,2
unei,2
Like,2
fa-3x,2
\fa-icon2"\></i>Link\,2
sa,2
Extract,2
#1</li></a>,2
\fa-icon3"\></i>Link\,2
astfel,2
rezultatul,2
letters,2
celor,2
#2</li></a>,2
\id="\tab-4"\\,2
\id="\tab-1"\\,2
jos,2
include,2
Acst,2
Aceast,2
#3</li></a>,2
on,2
\current"\></div>\,2
IF,2
\id="\sectiune2"\></div>\,2
\class="\vertical-center"\>\,2
No,2
type,2
\href="\link2.html"\><li><i\,2
menu,2
inchida,2
bug,2
parameter,2
3.loader_hide(),2
update,2
completa,2
fiind,2
poseda,2
\data-tab="\tab-3"\>Adaugare</li>\,2
href='#sectiune3'><li><div>Sectiune,2
\class="\context"\>\,2
\length,\,2
\class="\scrollTop"\>\,2
body,2
class='scrollspy'>,2
\src="\loader.js"\></script>\,2
post,2
centreaza,2
\"\umplutura"\\,2
grid,2
string-ului,2
\class="\last-pixel"\></div>\,2
user,2
Logout,2
database,2
\src="\contextMenu.js"\></script>\,2
valid,2
\class="\tabs"\>\,2
4,2
\src="\scrollTop.js"\></script>\,2
</a>,2
\href="\loader.css"\\,2
chemarea,2
scroll,2
\data-tab="\tab-0"\>General</li>\,2
CPP,2
1.loader_launch(),2
href='#sectiune1'><li><div>Sectiune,2
Disable,2
\$('html,\,2
\class="\loader"\>\,2
clasa,2
only,2
unele,2
#3</div></li></a>,2
\href="\link4.html"\><li><i\,2
\'hidden',\,2
Login,2
\fa-fw"\></i>\,2
likes,2
body').css({'overflow':,2
tab-uri,2
efect,2
\current"\\,2
\id="\sectiune3"\></div>\,2
evidentiate,2
ale,2
\no-event"\\,2
Correct,2
<ul>,2
function,2
'height':,2
+,2
coloana,2
date</li>,2
functii,2
\zerofill(number,\,2
\id="\tab-3"\\,2
==,2
require,2
functiei,2
schimbarea,2
incarcarea,2
\scrollspy(["\#sectiune1"\,"\#sectiune2"\,"\#sectiune3"\]);\,2
2s,2
meniu,2
\id="\sectiune1"\></div>\,2
(char),2
href='#sectiune2'><li><div>Sectiune,2
Remove,2
Print,2
recomanda,2
utile:,2
\class="\tab-content\,2
scrollTop,2
avea,2
PAS,2
\mici,\,2
final,2
scroleaza,2
\src="\tabs.js"\></script>\,2
user-ul,2
totalul,2
activata,2
Set,2
variabila,2
#4</li></a>,2
Functiile,2
plasarea,2
categorii,2
statistics,2
al,2
numarul,2
Cand,2
6,2
setat,2
\aria-hidden="\true"\></i>\,2
\bun,\,2
\data-tab="\tab-2"\>Editare</li>\,2
admins,1
Folosirea,1
\Levenshtein(a,b)\,1
urmatoarele,1
less,1
capitalize(string),1
Pnetru,1
Refresh,1
verticala,1
month_beautifier($month):,1
'month.php';,1
Swich,1
links,1
resolutions,1
\mobile-1-2"\>First\,1
string-ul,1
helpers,1
returneaza,1
luna,1
here</div>,1
afisate,1
utile,1
width,1
of,1
\0,\,1
Prevent,1
\,'')\,1
extrage,1
Calculate,1
\mica,\,1
urlParam(name),1
this.hostname){,1
button,1
one,1
\push-1-4"\>First\,1
Initialization,1
litere,1
singura,1
autorul,1
01,1
Levenshtein,1
\id="\section"\>Content\,1
contors,1
materiales,1
(name),1
adauga,1
List,1
infocuza-contact.firebaseio.com');,1
textarea,1
quiz,1
preluarea,1
Incrase,1
card,1
are,1
sterge,1
Auto-login,1
intro,1
(number),1
Move,1
UI,1
oldest,1
push-x-y:,1
zerofill,1
randomSubtle,1
fonts.googleapis.com/css?family=Pacifico);,1
\"\Teste"\\,1
animation,1
maxim,1
Check,1
JQuery,1
ZEROFILL(folosit,1
latimea,1
\src="\js/smoothScroll.js"\></script>\,1
fonts.googleapis.com/css?family=Kaushan+Script);,1
doresc,1
Animation,1
mica,1
newest,1
oattern,1
Omports,1
carui,1
usoara,1
<900px,1
Materials,1
array,1
tests,1
link,1
\class="\grid\,1
__dirname,1
Footer,1
sections,1
0:,1
string,1
link-urile,1
col-x-y,1
Scrollbar,1
vertical-center,1
&&,1
Increase,1
chat,1
\transformat,\,1
form,1
echo,1
col-x-y:,1
Daca,1
infocuza-contact.firebaseio.com/');,1
(a),1
contor,1
Password,1
numar,1
identificat,1
functions,1
formarea,1
siruri,1
tab,1
QUIZ,1
\Hostinger,\,1
intr-o,1
getCookie(cookie_name),1
necesare,1
sectiunea,1
(b),1
Video,1
cuprinde,1
AJAX,1
generate,1
mobile-friendly,1
alege,1
location.hostname,1
putand,1
egala,1
bazele,1
new,1
automata,1
obtine,1
acelasi,1
functiilor,1
\href="\#section"\>View\,1
Libraria,1
\class="\col-1-1\,1
Continue,1
month_beautifier(04):,1
Google,1
utilizata,1
afisa,1
calculeaza,1
necesita,1
doua,1
Special,1
date,1
toate,1
Localhost,1
Delete,1
bullet,1
imagini,1
fisierul,1
erori,1
content</a>,1
realizarea,1
conectarea,1
primul,1
framework-ului,1
\type="\text/css"\\,1
timp,1
Infoeducatia,1
usor,1
input,1
List.js,1
Functia,1
functia,1
\continutului,\,1
which,1
absenta,1
contents,1
sting-ul,1
aceastea,1
Lesson,1
Linux,1
Intro,1
\cookie_name,\,1
\class="\col-1-1"\>\,1
dezvoltare,1
deplaseaza,1
by,1
Lectie,1
rooms,1
\posibila,\,1
folosi,1
hashing,1
Clasele,1
\smoothScroll(),\,1
bullets,1
utilizand,1
caracter,1
view,1
Hovers,1
aleator,1
distanta,1
ascunde,1
test,1
Mobile,1
numele,1
\fonts.googleapis.com/css?family=Open+Sans:300,400,600,700,800);\,1
3:,1
two,1
cifre,1
LESSON,1
contacta,1
account,1
center,1
materils,1
request-ului,1
lungimea,1
100%,1
printeza,1
Score,1
\this.pathname.replace(/^\//,'')\,1
limba,1
generating,1
sfarsit,1
impartirea,1
month_beautifier_return($month):,1
dintre,1
unde,1
\date),\,1
background,1
query,1
650px,1
Firebase,1
devin,1
used,1
adesea,1
deleteAllCookies,1
page,1
infocuza-chat.firebaseio.com/room-metadata/');,1
',1
Send,1
'showErrors.php';,1
Aniamtion,1
principale,1
Contine,1
than,1
procesul,1
showErrors,1
Change,1
(lenght),1
\"\randomSubtle.php"\\,1
\mobile-1-2"\>Second\,1
Mac,1
sunt:,1
General(default),1
mobile-col-x-y:,1
orizontala,1
PDF,1
hide-on-mobile:,1
minuscula,1
'/index.html'),1
\hide-on-mobile"\>\,1
\"\success"\\,1
erorile,1
\"\schelet"\\,1
adresa,1
direct,1
cauta,1
\"\?rand=numar"\,\,1
optionalul,1
Load,1
introduced,1
score,1
use,1
Windows,1
\href="\grid-system.css"\>\,1
gridSystem,1
foloseste,1
Menu,1
\"\Lectii"\\,1
chemata,1
suportul,1
returnata,1
romana,1
Error,1
interne,1
multe,1
inlocuite,1
month_beautifier_return(12):,1
right,1
returnand-o,1
fonts,1
grid-system,1
three,1
restul,1
\grid-system"\>\,1
\fonts.googleapis.com/css?family=Roboto:100,300,400,500,700,900);\,1
\coloanelor,\,1
1:,1
4:,1
Edit,1
\majuscula,\,1
