File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\helpers\helpers.js,getCookie(cookie_name),13,13,10,5,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\helpers\helpers.js,deleteAllCookies(),8,8,7,1,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\helpers\helpers.js,urlParam(name),3,3,3,1,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\helpers\helpers.js,"zerofill(number, length, char)",4,4,4,1,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\helpers\helpers.js,capitalize(string),3,3,3,1,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\helpers\helpers.js,"Levenshtein(a,b)",23,23,17,8,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\loader\loader.js,loader_launch(),2,2,2,0,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\loader\loader.js,loader_init_hide(timer),11,11,10,1,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\loader\loader.js,loader_hide(timer),5,5,5,0,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\month\month.php,month_beautifier($month),39,39,26,13,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\month\month.php,month_beautifier_return($month),39,39,26,25,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\scrollSpy\scrollSpy.js,function(),3,3,3,1,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\scrollSpy\scrollSpy.js,scrollspy(array),29,29,29,4,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\scrollTop\scrollTop.js,requestLoaderShow(),5,5,4,1,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\scrollTop\scrollTop.js,requestLoaderClose(),9,9,7,1,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\assets\smoothScroll\smoothScroll.js,smoothScroll(),13,13,9,3,0,1,0,7,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\adminTools.js,refreshMaterial(),9,9,6,0,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\adminTools.js,moveToMaterial(),6,6,6,0,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\adminTools.js,initGeneral(),96,86,61,5,6,0,4,7,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\adminTools.js,initList(),63,51,36,0,7,0,5,9,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\adminTools.js,initEdit(),228,207,191,2,14,2,7,18,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\adminTools.js,initAdd(),186,163,135,5,14,2,9,22,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\adminTools.js,initContact(),26,21,19,0,3,2,2,5,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\js\translate.js,googleTranslateElementInit(),2,2,3,0,0,0,0,0,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\others\Desktop app project\main.js,createWindow(),6,6,3,0,0,1,0,5,
C:\Users\iosifache\Desktop\UniServerZ\www\InfoEducatia\others\Desktop app project\main.js,function(),4,4,2,1,0,0,0,0,
